Star_na             [Fe/H]        Vphi        err_vphi      [C/Fe]
52353-0877-284     -2.36100      138.640      89.6300     0.549000
52367-0880-066     -2.31600     -133.320      92.7200      1.77200
52367-0880-099     -2.43300     -42.9600      91.3600     0.503000
52379-0885-034     -2.06800     -290.070      108.210      1.31800
52379-0885-078     -2.31900     -46.1200      69.7100     0.403000
52373-0907-637     -2.29300      91.3800      117.710     0.435000
52373-0908-039     -2.65500     -49.1700      82.0200      1.14200
52379-0909-493     -2.37900     -401.750      152.120      2.07200
52433-0913-051     -2.10200     -338.530      117.590     0.587000
52433-0913-073     -2.96100     -10.3100      69.2900      2.71100
52443-0915-033     -2.11300      57.9300      44.6500     0.463000
52404-0918-237     -2.09300     -403.330      127.770     0.883000
52409-0924-610     -2.00900     -2.42000      53.6700     0.259000
52577-0927-555     -2.64300      89.3100      101.330     0.393000
52636-0939-160     -2.21600      93.0300      31.7900     0.592000
52703-0942-505     -2.06200     -446.100      148.140      1.82200
52428-0948-583     -2.10200      164.960      26.6000     0.473000
52646-0964-344     -2.01100     -297.540      157.870     0.844000
52438-0965-191     -2.07100      43.1700      57.7300     0.547000
52636-0967-317     -2.17800     -96.2500      72.2500    -0.144000
52442-0969-607     -2.14000      201.160      50.8500     0.627000
52413-0970-391     -2.23800     -19.5900      121.020     0.639000
52435-0981-610     -2.16800     -70.0900      24.0700      1.72000
52466-0982-480     -2.16800     -452.710      71.8500      1.88100
52442-0984-332     -2.06800      138.160      17.9200     0.369000
52725-0994-569     -2.09900     -210.160      68.7000      1.84900
52707-1008-584     -2.54100     -32.5700      80.0000      2.35800
52649-1012-178     -2.02400     -345.240      131.500      1.80800
52707-1019-601     -2.11400     -16.7900      52.9800     0.984000
52721-1020-243     -2.43100     -172.060      92.0500     0.481000
52721-1020-598     -2.26200      66.5900      128.020     0.512000
52736-1048-443     -2.51600     -243.520      86.6900     0.266000
52721-1050-418     -2.00800      169.600      27.6200     0.258000
52468-1051-590     -2.00300     -249.080      117.330     0.611000
52520-1058-129     -2.27700     -153.170      96.9900      2.02700
52520-1058-351     -2.40300     -152.000      41.4400      2.07500
52520-1083-579     -2.65600      142.690      77.3600     0.381000
52974-1096-500     -2.51200      19.6400      49.8700     0.790000
52941-1152-618     -2.25400      61.4700      48.3700   0.00400000
52669-1163-409     -2.07200      54.7200      23.0900     0.281000
52703-1165-529     -2.02800      58.7900      46.9300      1.71800
52724-1195-298     -2.05600      153.080      17.6800    0.0580000
52668-1200-595     -2.43400     -120.650      87.4900      1.91700
52670-1206-491     -2.25400      135.250      81.6100     0.495000
52972-1213-507     -3.05800     -300.420      117.060      2.99700
52672-1230-220     -2.46800      50.0300      61.1100     0.822000
52761-1238-060     -2.27400      76.7800      58.1600     0.657000
52734-1240-334     -2.10100      189.940      124.710     0.978000
53770-1245-027     -2.03000     -144.260      69.7400     0.638000
52709-1266-123     -2.23400      53.9200      28.8600     0.432000
52932-1267-375     -2.06100     -63.9000      100.000     0.311000
52989-1272-152     -2.60500     -440.740      137.410      2.09600
52765-1277-497     -2.34600      139.310      95.2700      1.20400
52759-1282-461     -2.01500     -37.5900      50.0100     0.436000
52753-1294-568     -2.12500     -55.6900      55.8000      2.08300
52976-1301-108     -2.28300      8.15000      13.9900    0.0330000
52765-1311-122     -2.43100      164.040      92.5100     0.332000
52790-1316-622     -2.04200      67.1500      29.9100    0.0600000
52797-1323-076     -2.11400      111.610      80.0900     0.364000
52786-1328-538     -2.08200      127.640      72.8500      1.33200
52822-1330-086     -2.37900     -56.4400      107.830     0.760000
52781-1332-233     -2.13500     -18.2200      68.7300     0.613000
53084-1348-310     -2.15500      64.1200      129.380      1.51100
53083-1353-039     -2.24900      106.000      17.2300     0.552000
52814-1354-191     -2.74700      9.71000      50.8900      1.68200
53034-1357-557     -2.23300     -36.7800      58.9800   -0.0170000
53047-1361-261     -2.09600     -33.5000      56.3700     0.282000
53063-1366-495     -2.12300     -27.9800      47.6600   -0.0740000
53084-1368-399     -2.15000      78.6200      26.4400     0.123000
53050-1377-558     -2.15200     -110.730      81.4300     0.433000
53061-1378-548     -2.05700      157.970      76.8800      1.65200
53116-1383-497     -2.03900      56.2000      44.6600     0.378000
53142-1390-614     -2.21000     -266.090      73.0500     0.460000
53108-1394-297     -2.74000     -292.510      114.540      2.10600
53119-1397-284     -2.00600     -168.340      104.110      1.56400
53144-1401-077     -2.15100     -27.3400      54.0300      1.46100
53227-1403-409     -2.21500     -138.420      80.4300     0.703000
52876-1406-390     -2.30700     -188.990      102.070      1.98700
53146-1420-286     -2.41900     -164.730      77.6000   -0.0630000
53146-1420-617     -2.46500     -54.7900      51.5700      1.82500
52990-1429-278     -2.06900     -111.310      124.520     0.310000
52996-1435-557     -2.02800     -78.0000      73.0900     0.424000
53054-1436-587     -2.14600      87.3100      93.0200     0.536000
53083-1441-165     -2.00800      7.64000      112.260     0.522000
53062-1445-476     -2.04700      62.2500      66.8000     0.539000
53120-1447-278     -2.06500      285.040      129.160     0.447000
53120-1448-486     -2.23400      207.430      122.530     0.484000
53115-1456-169     -2.10900      41.8200      38.9500     0.311000
53119-1458-118     -2.11400     -325.540      100.590     0.201000
53117-1459-366     -2.14200      124.050      82.0400    0.0180000
53091-1464-260     -2.25400     -278.160      107.090      1.70100
52991-1593-628     -2.18100     -121.070      70.3400      1.05600
52998-1596-265     -2.12600     -77.3300      63.5900     0.383000
53089-1599-041     -2.02900      67.5800      121.310   -0.0760000
53115-1601-372     -2.23400     -275.130      98.5800      1.48400
53119-1603-290     -2.05500      65.5800      54.9800     0.971000
53083-1607-516     -2.21900     -32.7700      55.9600     0.223000
53142-1609-178     -2.14900      110.200      38.6700    0.0930000
53115-1613-508     -2.07500     -133.710      157.470     0.325000
53385-1622-405     -2.15400      68.5700      96.9300     0.250000
53474-1628-470     -2.07500      159.620      56.0900     0.171000
53474-1628-576     -2.21300     -101.440      105.840     0.160000
53475-1690-526     -2.14000     -138.440      64.7000     0.453000
53446-1693-244     -2.51700     -305.460      92.9300     0.767000
53472-1694-627     -2.06600     -171.990      100.920   -0.0600000
53473-1695-072     -2.02900      45.9900      50.7800     0.279000
53146-1698-508     -2.05900     -94.2100      76.0200     0.756000
53503-1708-029     -2.16900      20.5700      122.010    0.0400000
53503-1708-618     -2.22500      32.4500      60.1800      1.97500
53533-1709-124     -2.09800     -210.560      155.630      1.14500
53876-1719-382     -2.38500      288.750      46.7800     0.196000
53905-1723-098     -2.11700      95.5400      30.2300     0.266000
53859-1724-432     -2.16500      121.490      45.5500     0.422000
53052-1736-010     -2.00400     -79.0600      64.2300     0.369000
53051-1738-542     -2.10200      53.7700      39.9300     0.219000
53050-1739-203     -2.34100     -1.66000      86.1300     0.753000
53050-1740-542     -2.19700     -38.4600      147.390     0.333000
53055-1744-573     -2.02200     -283.490      138.930      1.18300
53112-1748-221     -2.19100      146.660      37.8100     0.586000
53377-1751-154     -2.02400      158.970      42.7700     0.830000
53377-1751-301     -2.04400     -183.610      91.8400     0.415000
53377-1751-453     -2.09400     -98.1600      101.330     0.415000
53386-1755-021     -2.24000      109.430      26.0600     0.222000
53376-1761-128     -2.03800      20.8100      39.9300     0.291000
53759-1774-589     -2.10500      112.860      105.900     0.336000
53858-1776-155     -2.17700    -0.310000      91.3000     0.927000
54439-1785-381     -2.50600      51.3600      55.9700     0.756000
54266-1791-539     -2.33100      20.8300      50.8800      2.01900
54270-1792-116     -2.13800     -57.2400      65.0800      1.73200
53851-1798-516     -2.41000     -126.600      107.070      2.16000
53886-1804-085     -2.61000      78.2400      69.6600      2.39400
53886-1804-365     -2.49500     -196.950      103.150      2.08700
54539-1818-516     -2.42800      86.5100      36.8600     0.480000
53504-1825-342     -2.17700      255.890      93.2100     0.168000
53786-1850-582     -2.04100      50.2000      50.1700      1.51500
53566-1853-604     -2.01400      113.250      88.0500     0.143000
53386-1872-299     -2.05500      8.18000      44.6000    -0.195000
54453-1875-027     -2.10800      18.9900      28.4700     0.558000
53432-1946-247     -2.65000      136.740      31.3600      2.23500
53433-1949-131     -2.22600      62.8200      36.5500     0.301000
53415-1957-018     -2.23600     -69.9800      79.4500     0.671000
53734-1975-228     -2.09200      10.6200      76.6800     0.521000
53433-1984-631     -2.49400      77.4500      75.0400     0.608000
53845-1994-629     -2.00100      128.040      70.7900    -0.524000
53495-2010-195     -2.11900      56.8000      77.8400      1.81700
53499-2011-143     -2.31300      40.9900      120.110      1.37800
53800-2018-591     -2.13500     -9.57000      61.9000     0.112000
53431-2025-596     -2.07600      100.250      98.9600     0.275000
53433-2027-155     -2.00400      122.310      82.8500     0.262000
53819-2029-078     -2.24200      87.2200      72.9700      1.73000
53738-2067-483     -2.57800     -31.1100      57.4000     0.795000
53357-2081-506     -2.00600     -17.5600      92.9800     0.530000
53415-2087-420     -2.22300     -437.760      149.000      2.60900
53493-2088-447     -2.00600      133.850      130.160     0.507000
53474-2095-313     -2.19800      66.2100      38.1500   -0.0520000
